LEAID,lea_name,urbanicity
400890,ASU Preparatory Academy (92325),Non-Urban
400891,Academy of Mathematics and Science South Inc. (90878),Non-Urban
400892,Legacy Traditional School - Casa Grande (92199),Non-Urban
400893,Hirsch Academy A Challenge Foundation (91275),Non-Urban
400894,Kaizen Education Foundation dba Discover U Element (91328),Non-Urban
400895,Espiritu Community Development Corp. (92250),Non-Urban
400897,BASIS Charter Schools Inc. (91339),Non-Urban
400898,BASIS Charter Schools Inc. (91949),Non-Urban
400899,Legacy Traditional School - Gilbert (92047),Non-Urban
400900,Cicero Preparatory Academy (92316),Non-Urban
400902,The Farm at Mission Montessori Academy (91340),Non-Urban
400903,BASIS Charter Schools Inc. (92320),Non-Urban
400904,Edkey Inc. - Sequoia Pathway Academy (92226),Non-Urban
400905,BASIS Charter Schools Inc. (92318),Non-Urban
400907,StrengthBuilding Partners (91992),Non-Urban
400909,Madison Highland Prep (91935),Non-Urban
400910,Ash Fork Joint Unified District (4471),Urban
400911,Heritage Academy Gateway Inc. (92519),Non-Urban
400912,EAGLE College Prep Mesa LLC. (91939),Non-Urban
400913,Arizona Autism Charter Schools Inc. (91958),Non-Urban
400914,Franklin Phonetic Primary School Inc. (92596),Non-Urban
400915,CASA Academy (91934),Non-Urban
400916,EAGLE College Prep Maryvale LLC (91938),Non-Urban
400918,Arizona Language Preparatory (92566),Non-Urban
400919,Lincoln Preparatory Academy (92657),Non-Urban
400920,Southwest Technical Education District of Yuma (ST (92705),Non-Urban
400921,Horizon Community Learning Center Inc. (92620),Non-Urban
400922,Desert Star Academy (92302),Non-Urban
400924,Western School of Science and Technology Inc. (91937),Non-Urban
400925,Archway Classical Academy Lincoln (92656),Non-Urban
400926,Heritage Academy Laveen Inc. (92520),Non-Urban
400927,Legacy Traditional School - Queen Creek (92610),Non-Urban
400929,Noah Webster Schools-Pima (92374),Non-Urban
